record_id,timestamp_iso,cycle_id,collision_type,location_joint,severity,torque_peak_pct,force_value,error_codes,alert_type,status,maintenance_notes,related_error_code,ai_recommended_action,ai_procedure_steps,ai_confidence
COLL_8ea405,2025-11-17 09:18:37+00:00,15,hard_collision,J4,critical,111.93,0.274,SRVO-324,alert: Temperature high,pending_inspection,2025-11-17 - Checked belts on axis 6.,,,,
SYN_001,2025-11-17T13:52:00,9,hard_collision,J6,critical,115.306,0.468,SRVO-324,critical: Vibration spike,pending_inspection,Inspection required on joint,,,,
SYN_002,2025-11-17T13:42:00,50,hard_collision,J4,critical,125.859,0.227,SRVO-324,critical: Vibration spike,pending_inspection,Inspection required on joint,,,,
SYN_003,2025-11-17T19:06:00,46,hard_collision,J6,critical,120.888,0.31,SRVO-324,critical: Vibration spike,pending_inspection,Inspection required on joint,,,,
SYN_004,2025-11-17T07:12:00,29,hard_collision,J2,critical,137.792,0.438,SRVO-324,critical: Vibration spike,pending_inspection,Inspection required on joint,,,,
SYN_005,2025-11-17T08:44:00,26,hard_collision,J3,critical,119.8,0.531,SRVO-324,critical: Vibration spike,pending_inspection,Inspection required on joint,,,,
SYN_006,2025-11-17T20:08:00,49,soft_collision,J3,high,95.245,0.188,SRVO-050,alert: Torque high,under_review,,,,,
SYN_007,2025-11-17T22:17:00,37,soft_collision,J4,medium,96.754,0.351,SRVO-050,alert: Torque high,under_review,,,,,
SYN_008,2025-11-17T01:56:00,22,soft_collision,J5,high,90.164,0.286,SRVO-050,alert: Torque high,under_review,,,,,
SYN_009,2025-11-17T00:12:00,35,soft_collision,J3,high,86.941,0.163,SRVO-050,alert: Torque high,under_review,,,,,
SYN_010,2025-11-17T08:14:00,26,soft_collision,J5,high,89.341,0.388,SRVO-050,alert: Torque high,under_review,,,,,
SYN_011,2025-11-17T08:26:00,20,none,J2,medium,97.15,0.288,SRVO-005,warn: Torque limit,monitoring,,,,,
SYN_012,2025-11-17T23:38:00,40,none,J1,high,102.667,0.077,SRVO-160,warn: Torque limit,monitoring,,,,,
SYN_013,2025-11-17T00:50:00,48,none,J6,medium,112.476,0.064,SRVO-160,warn: Torque limit,monitoring,,,,,
SYN_014,2025-11-17T12:37:00,23,none,J2,high,99.847,0.274,SRVO-005,warn: Torque limit,monitoring,,,,,
SYN_015,2025-11-17T19:18:00,33,none,J2,high,113.218,0.254,SRVO-005,warn: Torque limit,monitoring,,,,,
SYN_016,2025-11-17T19:32:00,46,movement_fault,J6,medium,78.207,0.178,INTP-105,notice: Servo fault,logged,,,,,
SYN_017,2025-11-17T05:24:00,12,movement_fault,J6,medium,69.827,0.06,INTP-105,notice: Servo fault,logged,,,,,
SYN_018,2025-11-17T00:34:00,39,movement_fault,J3,medium,67.896,0.177,MOTN-019,notice: Servo fault,logged,,,,,
SYN_019,2025-11-17T08:28:00,19,movement_fault,J5,medium,66.787,0.145,SRVO-050,notice: Servo fault,logged,,,,,
SYN_020,2025-11-17T20:23:00,35,movement_fault,J2,medium,67.917,0.197,INTP-105,notice: Servo fault,logged,,,,,
SYN_021,2025-11-17T09:43:00,33,environmental_anomaly,J1,medium,64.58,0.468,,alert: Temperature high,monitoring,,,,,
SYN_022,2025-11-17T22:44:00,30,environmental_anomaly,J1,low,49.888,0.563,,alert: Temperature high,monitoring,,,,,
SYN_023,2025-11-17T16:44:00,7,environmental_anomaly,J4,medium,57.072,0.574,,alert: Temperature high,monitoring,,,,,
SYN_024,2025-11-17T03:01:00,38,environmental_anomaly,J5,medium,58.195,0.269,,alert: Temperature high,monitoring,,,,,
SYN_025,2025-11-17T03:32:00,11,environmental_anomaly,J1,medium,40.667,0.433,,alert: Temperature high,monitoring,,,,,
SYN_026,2025-11-17T17:01:00,37,none,J5,low,28.3,0.031,,info: Low battery,resolved,,,,,
SYN_027,2025-11-17T16:11:00,37,none,J1,low,59.259,0.039,,info: Low battery,resolved,,,,,
SYN_028,2025-11-17T10:50:00,27,none,J2,low,45.91,0.099,,info: Low battery,resolved,,,,,
SYN_029,2025-11-17T13:18:00,19,none,J3,low,30.045,0.092,,info: Low battery,resolved,,,,,
SYN_030,2025-11-17T08:54:00,36,none,J6,low,56.207,0.087,,info: Low battery,resolved,,,,,
SYN_031,2025-11-17T09:45:00,49,none,J6,medium,32.668,0.141,,info: Inspection performed,monitoring,Maintenance scheduled for next cycle,,,,
SYN_032,2025-11-17T14:13:00,47,none,J1,medium,59.359,0.087,,info: Inspection performed,monitoring,Maintenance scheduled for next cycle,,,,
SYN_033,2025-11-17T05:31:00,15,none,J6,medium,69.136,0.145,,info: Inspection performed,monitoring,Maintenance scheduled for next cycle,,,,
SYN_034,2025-11-17T19:50:00,27,none,J2,medium,55.227,0.105,,info: Inspection performed,monitoring,Maintenance scheduled for next cycle,,,,
SYN_035,2025-11-17T07:01:00,7,none,J6,medium,56.182,0.168,,info: Inspection performed,monitoring,Maintenance scheduled for next cycle,,,,
